dataset_name,data_update_frequency,dataset_date
sudan-displacement-data-migrants-iom-dtm,365,[2021-11-01T00:00:00 TO 2023-03-31T23:59:59]
afghanistan-idps-returnees-needs-assessment-iom-dtm,-1,[2018-05-01T00:00:00 TO 2018-06-06T23:59:59]
dtm-dominica-round-3,30,[2017-11-01T00:00:00 TO 2017-11-01T23:59:59]
south-sudan-village-assessment-education-facilities-iom-dtm,365,[2019-08-01T00:00:00 TO 2023-03-31T23:59:59]
cxb-kutupalong-roads-culverts,90,[2018-04-24T00:00:00 TO 2018-04-24T23:59:59]
nigeria-iom-dtm-datasets,-1,[2014-07-01T00:00:00 TO 2016-01-28T23:59:59]
iom-dtm-nepal-dataset-round-5,-1,[2015-11-03T00:00:00 TO 2015-11-03T23:59:59]
mongolia-displacement-idps-rapid-assessment-iom-dtm,365,[2022-06-01T00:00:00 TO 2023-02-28T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-drone-imagery-and-gis-package-by-camp-july-2018,30,[2018-07-01T00:00:00 TO 2018-07-22T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-drone-imagery-and-gis-package-by-camp-june-2018,30,[2018-06-02T00:00:00 TO 2018-06-14T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-round-15-site-assessment-female-key-informant,90,[2019-05-01T00:00:00 TO 2019-06-24T23:59:59]
sudan-msna-2021,365,[2021-08-31T00:00:00 TO 2021-08-31T23:59:59]
car-administrative-boundaries-4-levels,-1,[2016-10-01T00:00:00 TO 2016-10-01T23:59:59]
car-shapefile-idp-sites,-1,[2016-10-01T00:00:00 TO 2016-10-01T23:59:59]
car-shapefile-contour-line-equidistant-10m,-1,[2016-07-01T00:00:00 TO 2016-07-01T23:59:59]
dtm-round-3-flow-monitoring-of-venezuelan-migration-peru,-2,[2018-05-01T00:00:00 TO 2018-07-20T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-majhee-blocks-mapping,90,[2018-04-17T00:00:00 TO 2018-04-17T23:59:59]
iom-dtm-iraq-dataset-round-09,-1,[2014-11-25T00:00:00 TO 2014-11-25T23:59:59]
dtm-round1-flowmonitoringvenezuelan,90,[2017-09-22T00:00:00 TO 2017-10-23T23:59:59]
iom-dtm-iraq-dataset-round-3,-1,[2014-08-28T00:00:00 TO 2014-08-28T23:59:59]
iom-dtm-iraq-dataset-round-04,-1,[2014-09-01T00:00:00 TO 2014-09-01T23:59:59]
iom-dtm-iraq-dataset-round-07,-1,[2014-10-26T00:00:00 TO 2014-10-26T23:59:59]
iom-dtm-iraq-dataset-round-1,-1,[2014-03-03T00:00:00 TO 2014-03-03T23:59:59]
iom-dtm-iraq-dataset-round-10,-1,[2014-12-09T00:00:00 TO 2014-12-09T23:59:59]
iom-dtm-iraq-dataset-round-13,-1,[2015-01-29T00:00:00 TO 2015-01-29T23:59:59]
iom-dtm-iraq-dataset-round-14,-1,[2015-02-12T00:00:00 TO 2015-02-12T23:59:59]
iom-dtm-iraq-dataset-round-17,-1,[2015-03-26T00:00:00 TO 2015-03-26T23:59:59]
iom-dtm-iraq-dataset-round-20,-1,[2015-05-01T00:00:00 TO 2015-05-01T23:59:59]
iom-dtm-iraq-dataset-round-26,-1,[2015-07-30T00:00:00 TO 2015-07-30T23:59:59]
cameroon-covid-19-mobility-restriction-point-of-entries-iom-dtm,-1,[2022-01-27T00:00:00 TO 2022-05-26T23:59:59]
iom-dtm-nigeria-dataset-round-2,-1,[2015-02-15T00:00:00 TO 2015-02-15T23:59:59]
iom-dtm-nigeria-dataset-round-4,-1,[2015-06-30T00:00:00 TO 2015-06-30T23:59:59]
iom-dtm-nigeria-dataset-round-5,-1,[2015-08-31T00:00:00 TO 2015-08-31T23:59:59]
malawi-displacement-data-site-assessment-tropical-storm-ana-iom-dtm,-1,[2022-01-28T00:00:00 TO 2022-01-31T23:59:59]
uganda-displacement-data-baseline-assessment-iom-dtm,-1,[2020-05-04T00:00:00 TO 2020-05-28T23:59:59]
south-africa-displacement-data-baeline-ward-assessment-iom-dtm,-2,[2022-06-13T00:00:00 TO 2022-06-17T23:59:59]
displacement-tracking-matrix,,[2015-01-29T00:00:00 TO 2015-01-29T23:59:59]
drc-site-assessment-data-iom-dtm,-1,[2016-01-25T00:00:00 TO 2019-07-31T23:59:59]
haiti-displacement-idps-baseline-assessment-iom-dtm,365,[2021-10-15T00:00:00 TO 2023-12-19T23:59:59]
iraq-iom-dtm-dataset-july-2016,-1,[2016-07-31T00:00:00 TO 2016-07-31T23:59:59]
mozambique-iom-dtm-dataset-july-2015,-1,[2015-07-31T00:00:00 TO 2015-07-31T23:59:59]
dominica-site-assessment-data-iom-dtm,90,[2018-01-27T00:00:00 TO 2018-01-27T23:59:59]
iom-dtm-ecuador-site-assessment-data-spontaneous-sites,-1,[2016-08-31T00:00:00 TO 2016-08-31T23:59:59]
gis-pakages-may2018,30,[2018-05-01T00:00:00 TO 2018-05-20T23:59:59]
iom-dtm-ecuador-site-assessment-data-official-sites-government-owned,-1,[2016-08-31T00:00:00 TO 2016-08-31T23:59:59]
consolidation-of-dtm-site-assessment-exercises-conducted-during-november-2016,30,[2015-01-01T00:00:00 TO 2016-12-01T23:59:59]
iom-dtm-iraq-dataset-round-11,-1,[2014-12-25T00:00:00 TO 2014-12-25T23:59:59]
dtm-dominica-round-2,14,[2017-10-24T00:00:00 TO 2017-11-03T23:59:59]
south-sudan-dtm-dataset,30,[2015-03-01T00:00:00 TO 2015-10-31T23:59:59]
iom-dtm-iraq-dataset-round-06,-1,[2014-10-19T00:00:00 TO 2014-10-19T23:59:59]
iom-dtm-iraq-dataset-round-18,-1,[2015-04-09T00:00:00 TO 2015-04-09T23:59:59]
iom-dtm-iraq-dataset-round-2,-1,[2014-04-09T00:00:00 TO 2014-04-09T23:59:59]
rd26-dtm-master-list-jun2016,-1,[2010-12-30T00:00:00 TO 2016-06-30T23:59:59]
monthly-breakdowns-of-arrivals-to-italy-and-greece,-1,[2015-01-01T00:00:00 TO 2015-12-31T23:59:59]
data-and-resources-by-camps,30,[2018-04-01T00:00:00 TO 2018-04-24T23:59:59]
iom-npm-cox-bazar-uav-imagery,90,[2018-09-15T00:00:00 TO 2018-09-15T23:59:59]
nigeria-displacements-returnees-iom-dtm,365,[2021-01-05T00:00:00 TO 2022-11-09T23:59:59]
bangladesh-npm-drone-imagery-and-gis-package-by-camp-nov-2018,30,[2018-11-20T00:00:00 TO 2018-11-20T23:59:59]
south-sudan-displacement-data-idps-returnees-emergency-event-tracking-iom-dtm,-2,[2020-01-01T00:00:00 TO 2022-12-31T23:59:59]
iom-bangladesh-needs-and-population-monitoring-npm-drone-imagery-and-gis-package-by-camp-august-2018,30,[2018-08-09T00:00:00 TO 2018-09-04T23:59:59]
iom-bangladesh-npm-drone-imagery-and-gis-package-by-camp-sept-oct-2018,30,[2018-09-23T00:00:00 TO 2018-10-10T23:59:59]
dtm-iraq,-1,[2015-11-30T00:00:00 TO 2015-11-30T23:59:59]
kenya-displacement-baseline-multi-sectoral-location-assessment-iom-dtm,365,[2022-09-05T00:00:00 TO 2023-01-28T23:59:59]
madagascar-displacement-data-baseline-assessment-drought-in-grand-sud-iom-dtm,-2,[2022-09-01T00:00:00 TO 2022-09-30T23:59:59]
sri-lanka-displacement-idps-baseline-assessment-iom-dtm,-1,[2017-07-31T00:00:00 TO 2017-07-31T23:59:59]
burkina-faso-displacement-data-site-assessment-iom-dtm,-1,[2019-08-06T00:00:00 TO 2019-08-18T23:59:59]
iom-dtm-iraq-dataset-round-22,-1,[2015-06-22T00:00:00 TO 2015-06-22T23:59:59]
dtm-round2-flow-monitoring-of-venezuelan-migration-peru,90,[2017-12-20T00:00:00 TO 2018-02-02T23:59:59]
the-bahamas-hurricane-dorian-site-assessment-round-3-november-2019,-1,[2019-11-05T00:00:00 TO 2019-11-05T23:59:59]
iom-dtm-mosul-crisis-baseline-data,-1,[2016-10-24T00:00:00 TO 2016-10-24T23:59:59]
global-dtm-data-consolidation-november-2016-baseline-and-site-assessment-data,30,[2016-10-01T00:00:00 TO 2016-12-31T23:59:59]
iom-dtm-iraq-dataset-round-15,-1,[2015-02-26T00:00:00 TO 2015-02-26T23:59:59]
niger-displacement-data-baseline-assessment-iom-dtm,180,[2019-12-04T00:00:00 TO 2023-04-09T23:59:59]
dtm-displacement-idps-returnees-iom-dtm,-2,[2020-11-10T00:00:00 TO 2020-11-10T23:59:59]
zimbabwe-displacement-data-tsholotsho-district-baseline-assessment-iom-dtm,-1,[2018-11-30T00:00:00 TO 2018-11-30T23:59:59]
sudan-registration-data-iom-dtm,-1,[2019-09-30T00:00:00 TO 2019-09-30T23:59:59]
drc-displacement-data-sankuru-province-baseline-assessment-iom-dtm,-2,[2018-08-31T00:00:00 TO 2018-08-31T23:59:59]
drc-displacement-data-kasai-oriental-province-baseline-assessment-iom-dtm,-2,[2019-02-01T00:00:00 TO 2019-02-16T23:59:59]
mozambique-displacement-data-site-assessment-idai-iom-dtm,180,[2022-09-01T00:00:00 TO 2022-09-30T23:59:59]
fiji-evacuation-tracking-monitoring-cycle-2,-1,[2016-05-31T00:00:00 TO 2016-06-21T23:59:59]
ecuador-displacement-idps-site-assessment-iom-dtm,-1,[2017-02-02T00:00:00 TO 2017-02-10T23:59:59]
peru-displacement-idps-site-assessment-iom-dtm2,-1,[2017-05-01T00:00:00 TO 2017-05-31T23:59:59]
npm-bangladesh-round-9-baseline-master-list-march-2018,30,[2018-02-05T00:00:00 TO 2018-03-25T23:59:59]
