dataset_name,data_update_frequency
worldpop-pregnancies-for-somalia,365
worldpop-births-for-somalia,365
worldpop-pregnancies-for-mali,365
worldpop-births-for-mali,365
census-cartography-based-gridded-population-estimates-for-mali-2020-version-1-0,-2
worldpop-age-and-sex-structures-for-mali,365
worldpop-population-density-for-mali,365
worldpop-population-counts-for-somalia,365
worldpop-population-counts-for-mali,365
worldpop-population-density-for-somalia,365
worldpop-age-and-sex-structures-for-somalia,365
